DataSourceKey,DataSourceName,StoredProcedureName,DataSourceType,DatabaseName,ModuleGroup,ModuleName,InputCount,OutputCount,ReadRowLimit,GlobalAllow,SelfServiceable,Description,AddDate,UpdateDate
20435,Pending_Containers_No_Authorization_Codes_Get (Part),Pending_Containers_No_Authorization_Codes_Get,Stored Procedure,Part,,,1,1,1000,false,0,,2015-09-04T18:06:16.15Z,
13568,Pending_Lot_Trace_Finalize (Part),Pending_Lot_Trace_Finalize,Stored Procedure,Part,,,1,0,1000,false,0,,2015-05-05T20:18:01.803Z,2016-10-06T11:13:10.87Z
11080,Piece_Add (Part),Piece_Add,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,9,1,1000,true,1,,2015-02-16T12:51:33.307Z,2023-12-13T14:39:30.76Z
230007,Piece_Change_Get (Part),Piece_Change_Get,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,1,12,1000,false,0,,2018-07-12T16:42:30.857Z,2018-10-01T18:17:09.17Z
3670,Piece_Container_Serial_No_Update (Part),Piece_Container_Serial_No_Update,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,2,0,1000,true,1,,2014-06-20T17:34:33.37Z,2019-02-25T16:20:18.143Z
11082,Piece_Delete (Part),Piece_Delete,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,2,0,1000,false,0,,2015-02-16T12:53:17.303Z,2025-03-31T18:32:13.977Z
21775,Piece_Picker_Get (Part),Piece_Picker_Get,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,1,4,1000,true,1,,2015-09-04T18:16:42.6Z,
14087,Piece_Serial_Mode_Get (Part),Piece_Serial_Mode_Get,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,1,1,1000,false,0,,2015-06-10T07:02:25.21Z,2015-06-10T07:02:40.03Z
230202,Piece_Serial_No_Unique_Check_Merge (Part),Piece_Serial_No_Unique_Check_Merge,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,3,1,1000,false,0,,2018-10-04T14:28:52.167Z,2018-10-04T14:31:31.513Z
18474,Piece_Source_Inventory_Add (Part),Piece_Source_Inventory_Add,Stored Procedure,Part,Inventory,Inventory Tracking,9,0,1000,false,0,,2015-09-04T17:33:23.07Z,
18476,Piece_Source_Inventory_Update (Part),Piece_Source_Inventory_Update,Stored Procedure,Part,Inventory,Inventory Tracking,2,11,1000,false,0,,2015-09-04T17:33:23.167Z,
30917,Piece_Statuses_Picker_Get (Part),Piece_Statuses_Picker_Get,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,1,2,1000,false,0,,2018-06-25T14:25:22.533Z,2018-06-25T15:50:41.837Z
230232,Piece_Trace_Add (Part),Piece_Trace_Add,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,3,0,1000,false,0,,2018-10-18T19:12:27.9Z,2019-02-25T16:20:18.27Z
16974,Piece_Validate (Part),Piece_Validate,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,3,3,1000,false,0,,2015-09-04T17:13:56.577Z,
16975,Piece_XML_Add (Part),Piece_XML_Add,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,2,0,1000,false,0,,2015-09-04T17:13:56.667Z,
230121,Pieces_By_Piece_Serial_No_Get (Part),Pieces_By_Piece_Serial_No_Get,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,5,5,1000,true,1,,2018-08-31T11:38:38.577Z,2018-10-08T14:58:03.713Z
5064,Pieces_Get (Part),Pieces_Get,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,2,6,1000,false,0,,2014-08-13T09:11:55.86Z,2015-09-04T20:17:47.573Z
10850,Pieces_Grid_Get (Part),Pieces_Grid_Get,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,12,18,1000,false,0,,2015-02-09T12:27:07.09Z,2019-06-28T16:31:00.853Z
230067,Pieces_Reconciliation_Grid_Get (Part),Pieces_Reconciliation_Grid_Get,Stored Procedure,Part,Inventory,Serialized Piece Consumption and Trace,4,9,1000,true,1,,2018-08-09T11:28:37.503Z,2018-08-27T10:35:33.273Z
832,Planner_Get_Picker (Part),Planner_Get_Picker,Stored Procedure,Part,Engineering,Part List,2,3,1000,true,1,,2014-02-21T14:42:54.927Z,2015-09-04T18:16:56.66Z
10868,Plant_Replenishment_From_Warehouse_Report (Part),Plant_Replenishment_From_Warehouse_Report,Stored Procedure,Part,,,4,13,1000,false,0,,2015-02-09T17:36:30.56Z,2015-09-04T20:18:01.073Z
27952,PO_Line_Assembly_Sequences_by_Job_Get (Part),PO_Line_Assembly_Sequences_by_Job_Get,Stored Procedure,Part,Sales and CRM,Customer Orders and Releases,3,13,1000,false,0,,2016-07-15T19:08:26.21Z,2016-07-15T19:15:34.743Z
19167,PO_Receiving_Summary_Finalize (Part),PO_Receiving_Summary_Finalize,Stored Procedure,Part,,,4,0,1000,false,0,,2015-09-04T17:43:18.49Z,
24122,Pre_Print_Container_Labels_Add (Part),Pre_Print_Container_Labels_Add,Stored Procedure,Part,Shipping,Shipping Labels,5,3,1000,false,0,,2015-11-02T15:16:07.047Z,2016-10-06T12:48:28.383Z
